metric_name,normalized_name,canonical_name,occurrences,deck_count,decks,units,categories,looks_metric_like,name_length,token_count,sample_context
Launch RateCompanion: 28.42%,launch ratecompanion 28 42,Launch RateCompanion: 28.42%,1,1,Disney+ EMEA  FY25 H2,percent,performance,true,28,4,"+50% Launch RateCompanion: 28.42% 3D:18.97% Video Companion Carousel delivered higher CTRs, +50% launch rates, and +36% effectiveness, while the 3D Animated Carousel excelled in time spent."
Launch RateCountdown,launch ratecountdown,Launch RateCountdown,1,1,Disney+ EMEA  FY25 H2,percent,performance,true,20,2,"+4% Launch RateCountdown: 14.70% BAU: 14.17% Countdown Clock placements proved highly engaging in Germany, driving +18% CTR, +4% Launch Rate, and +1 minutes longer duration — reinforcing the power of urgency-driven creat"
Launch RateCountdown: 14.70%,launch ratecountdown 14 70,Launch RateCountdown: 14.70%,1,1,Disney+ EMEA  FY25 H2,percent,performance,true,28,4,"+4% Launch RateCountdown: 14.70% BAU: 14.17% Countdown Clock placements proved highly engaging in Germany, driving +18% CTR, +4% Launch Rate, and +1 minutes longer duration — reinforcing the power of urgency-driven creat"
Launches from H1,launches from h1,Launches from H1,1,1,Disney+ EMEA  FY25 H2,ratio,performance,false,16,3,$1.79 Cost per Proxy Conversion 1.8x Launches from H1 Any user that Launches Disney+ for 2 or more +30 minute session within 7 day attribution window
Launches vs Overall Launches,launches vs overall launches,Launches vs Overall Launches,1,1,Disney+ EMEA FY25 H1,percent,performance,false,28,3,1/3 34% Launches vs Overall Launches 13% Overall H1 Investment
LaunchesH1’25,launchesh1 25,LaunchesH1’25,1,1,Disney+ EMEA  FY25 H2,count,performance,false,13,2,+78% LaunchesH1’25: 12.0M H2’25: 21.2M +18% ReachH1’25: 14.6M H2’25: 17.3M
LaunchesH1’25: 12.0M,launchesh1 25 12 0m,LaunchesH1’25: 12.0M,1,1,Disney+ EMEA  FY25 H2,percent,performance,false,20,4,+78% LaunchesH1’25: 12.0M H2’25: 21.2M +18% ReachH1’25: 14.6M H2’25: 17.3M
LaunchesH2’24: 32.5M,launchesh2 24 32 5m,LaunchesH2’24: 32.5M,1,1,Disney+ US FY25 H1,percent,performance,false,20,4,+30% LaunchesH2’24: 32.5M H1’25: 42.1M H1’25 vs H2’24 Analysis
LaunchesH2’24: 9.4M,launchesh2 24 9 4m,LaunchesH2’24: 9.4M,1,1,Disney+ EMEA FY25 H1,percent,performance,false,19,4,+27% LaunchesH2’24: 9.4M H1’25: 12.0M H1’25 vs H2’24 Analysis
Lower CPE of $0.42 vs. UK H2 Overall,lower cpe of 0 42 vs uk h2 overall,Lower CPE of $0.42 vs. UK H2 Overall,1,1,Disney+ EMEA  FY24 H2,percent,cost,true,36,9,Widya: Updated [TABLE] 1.9M | New Users reached via Roadblocks (4.6x frequency) 4x | 6x Higher Launch rate (32%) for Roadblock vs. UK H2 Overall 74% | Lower CPE of $0.42 vs. UK H2 Overall 100% SOV Roadblocks were effecti
Market Reach,market reach,Market Reach,1,1,Disney+ EMEA FY25 H1,percent,reach,true,12,2,"Deduplicated Reach vs. Other TV OEMS +70% Market Reach A global leader in CTV and cross screen advertising, we connect real-world moments with addressable media solutions. In transforming the screen into an interactive, "
Moana 2,moana 2,Moana 2,1,1,Disney+ US FY25 H1,count,other,false,7,2,Moana 2 - Split Test 3/22 Carousel Analysis Moana 2 - Split Test 3/22 Carousel Analysis Companion Video outperformed both the Static and 3D assets across all metrics besides CPA where the 3D asset drove the most efficien
More avg. duration/launch vs static,more avg duration launch vs static,More avg. duration/launch vs static,1,1,Disney+ EMEA  FY24 H2,time,engagement,true,35,6,Carousel Companion Spotlight: The Acolyte [TABLE] 3.7x | Launch rate vs Static 29% | More efficient CPA vs Static 79% | More efficient CPE vs Static +26 Mins | More avg. duration/launch vs static The Acolyte ran both Car
More Efficient Cost per Proxy Conversions,more efficient cost per proxy conversions,More Efficient Cost per Proxy Conversions,1,1,Disney+ EMEA  FY25 H2,ratio,cost,false,41,6,"Power of Home Screen Roadblocks 3x More Efficient Cost per Proxy Conversions Although Home Screen Roadblocks accounted for just 15% of H2 spend within 7x markets, they generated over a quarter of total unique reach and d"
More efficient CPA,more efficient cpa,More Efficient CPA vs,1,1,Disney+ EMEA  FY24 H2,percent,cost,true,18,3,High Impact Roadblock Snapshot - United Kingdom 30% More efficient CPA 69% Of Acquired Users
More efficient CPA vs Static,more efficient cpa vs static,More efficient CPA vs Static,1,1,Disney+ EMEA  FY24 H2,percent,cost,true,28,5,Carousel Companion Spotlight: The Acolyte [TABLE] 3.7x | Launch rate vs Static 29% | More efficient CPA vs Static 79% | More efficient CPE vs Static +26 Mins | More avg. duration/launch vs static The Acolyte ran both Car
More Efficient CPE VS Overall,more efficient cpe vs overall,More Efficient CPE VS Overall,1,1,Disney+ EMEA  FY25 H2,ratio,cost,true,29,5,Power of Home Screen Roadblocks 3x More Efficient CPE VS Overall
More Efficient CPE vs Overall ROS,more efficient cpe vs overall ros,More Efficient CPE vs Overall ROS,1,1,Disney+ US FY25 H1,percent,cost,true,33,6,FY25 H1 CPE: Intenders ROS 41% More Efficient CPE vs Overall ROS
More efficient CPE vs Static,more efficient cpe vs static,More efficient CPA vs Static,1,1,Disney+ EMEA  FY24 H2,percent,cost,true,28,5,Carousel Companion Spotlight: The Acolyte [TABLE] 3.7x | Launch rate vs Static 29% | More efficient CPA vs Static 79% | More efficient CPE vs Static +26 Mins | More avg. duration/launch vs static The Acolyte ran both Car
More Launches vs Last Half,more launches vs last half,More Launches vs Last Half,1,1,Disney+ US FY25 H1,percent,performance,false,26,5,FY25 H1 CPE: Lapsed ROS 51% More Launches vs Last Half Engaged User: any user that Launches Disney+ for 2 or more +30 minute session within 7 day attribution window
Multi-Card Carousel Roadblock,multi card carousel roadblock,Multi-Card Carousel Roadblock,1,1,Disney+ US FY24 H2,ratio,other,false,29,4,"Continue to lean into immersive and animated ad experiences to grab the viewer's attention and drive them into the Disney+ app. Video Enabled - Leverage up to :30 video for both Roadblocks and ROS, driving CTR up to 2x h"
Native Roadblocks,native roadblocks,Native Roadblocks,1,1,Disney+ US FY24 H2,currency,other,false,17,2,Cost per Acquired User (CPA): Cost to acquire a net new user Native Roadblocks : $1.59M There is opportunity to continue leveraging the Content Store Roadblock in order to not only bolster subscriptions but drive down ac
New Users reached via Roadblocks (4.6x frequency),new users reached via roadblocks 4 6x frequency,New Users reached via Roadblocks (4.6x frequency),1,1,Disney+ EMEA  FY24 H2,count,reach,true,49,8,Widya: Updated [TABLE] 1.9M | New Users reached via Roadblocks (4.6x frequency) 4x | 6x Higher Launch rate (32%) for Roadblock vs. UK H2 Overall 74% | Lower CPE of $0.42 vs. UK H2 Overall 100% SOV Roadblocks were effecti
Objective,objective,Objective,1,1,Disney+ EMEA  FY25 H2,count,other,false,9,1,"Objective: Assess the impact of 3D animated Carousel vs. Video Companion creatives across LG TVs. 6-hour (6pm-12am) High Impact Roadblock, 8/30: 3D Video UK Alien Earth Split Test Strategy"
Of Acquired Users,of acquired users,Total Acquired Users,1,1,Disney+ EMEA  FY24 H2,percent,other,false,17,3,High Impact Roadblock Snapshot - United Kingdom 69% Of Acquired Users 63% Of Engaged Users
Of Q3 UK & DE Investment,of q3 uk de investment,Of Q3 UK & DE Investment,1,1,Disney+ EMEA  FY25 H2,percent,cost,false,24,5,"Q3 Content Store Roadblocks: UK & DE 8% Of Q3 UK & DE Investment Driving 4x CTR and 3x higher launch rates, UK & DE Q3 investment delivered disproportionate impact for just 8% of spend.."
"Of Q4 UK, DE, IT, & FR Investment",of q4 uk de it fr investment,"Of Q4 UK, DE, IT, & FR Investment",1,1,Disney+ EMEA  FY25 H2,percent,cost,false,33,7,"13% Of Q4 UK, DE, IT, & FR Investment Scaling into Italy and France kept CTR and Launch Rate outperformance strong at 2x benchmarks in Q4."
Of Total Acquired Users,of total acquired users,Total Acquired Users,1,1,Disney+ US FY24 H2,percent,other,false,23,4,Power of Content Store Roadblock 16% Of Total Acquired Users 13% Of Total Installs
of total Investment in H2 Roadblock Strategy,of total investment in h2 roadblock strategy,of total Investment in H2 Roadblock Strategy,1,1,Disney+ EMEA  FY24 H2,percent,cost,false,44,7,"High Impact Roadblock Snapshot - United Kingdom 48% of total Investment in H2 Roadblock Strategy With almost half the EMEA roadblock budget in 2H2’24, the UK generated a higher share of conversions across the board and d"
of total Investment in UK,of total investment in uk,of total Investment in UK,1,1,Disney+ EMEA  FY24 H2,percent,cost,false,25,5,"Widya: Updated 19% of total Investment in UK Are any of these metrics possible just for UK - compared to their ROS in UK If it doesn’t make sense to look at their whole flight, maybe we look at the impact the RB had on J"
of Total Launches,of total launches,Of Total Launches,1,1,Disney+ EMEA  FY24 H2,percent,performance,false,17,3,Roadblocks Drive App Engagement 94% of Total Launches 95% of Total Streaming Hours
of Total Streaming Hours,of total streaming hours,Of Total Streaming Hours,1,1,Disney+ EMEA  FY24 H2,percent,other,true,24,4,Roadblocks Drive App Engagement 95% of Total Streaming Hours 94% of Total Launches
of total UK Investment in June 2024,of total uk investment in june 2024,of total UK Investment in June 2024,1,1,Disney+ EMEA  FY24 H2,percent,cost,false,35,7,Roadblocks Drive App Engagement 54% of total UK Investment in June 2024 95% of Total Streaming Hours
One intro slide,one intro slide,One intro slide,1,1,Disney+ EMEA  FY25 H2,count,other,false,15,3,One intro slide Disney gained access to viewers actively seeking apps to download and new content through LG’s Native Content Store Roadblock Markets: 3 Content Store Roadblocks (UK) → 6/1- 6/15 / (DE)→ 6/16- 6/30 5. Q4 
Open,open,Open,1,1,Disney+ US FY24 H2,count,other,false,4,1,"Gain exclusive access and guaranteed share of voice to viewers actively seeking new content and Apps to download with a Native Content Store Roadblock. TV Models: 2017+ Markets: US, UK, ES, DE & BR Ad Format: 970x250 (st"
Overall H1 Investment,overall h1 investment,Overall H1 Investment,1,1,Disney+ EMEA FY25 H1,percent,cost,false,21,3,1/3 13% Overall H1 Investment The Spring Promo Roadblock Day across EMEA reached 1 in 3 of all TVs it touched over the full H1 duration — a standout moment for scale and impact
Overall H2,overall h2,Overall H2,1,1,Disney+ EMEA  FY25 H2,percent,other,false,10,2,"Power of Home Screen Roadblocks 15% Overall H2 Investment Although Home Screen Roadblocks accounted for just 15% of H2 spend within 7x markets, they generated over a quarter of total unique reach and delivered 3x better "
Overall H2 Investment,overall h2 investment,Overall H2 Investment,1,1,Disney+ EMEA  FY25 H2,percent,cost,false,21,3,Power of Home Screen Roadblocks 15% Overall H2 Investment 3x More Efficient CPE VS Overall
Overall Q2/Q3,overall q2 q3,Overall Q2/Q3,1,1,Disney+ EMEA  FY25 H2,percent,other,false,13,3,"Power of Home Screen Roadblocks 32% Overall Q2/Q3 Hulu Investment 66K Proxy Conversions Hulu’s three premiere-day Roadblocks reached 65% of all LG TVs exposed during Q2 and Q3, underscoring unmatched scale and impact."
Proxy,proxy,Proxy,1,1,Disney+ EMEA  FY25 H2,ratio,other,false,5,1,"Power of Video within the Carousel Companion 2.5x Proxy Conversions 103% Higher Launch Rate vs Static Across H2, 13 markets deployed the Carousel Companion unit with 16:9 video, and the format consistently delivered top-"
Proxy ConversionsH1’25,proxy conversionsh1 25,Proxy ConversionsH1’25,1,1,Disney+ EMEA  FY25 H2,count,performance,false,22,3,+61% Proxy ConversionsH1’25: 975.1K H2’25: 1.6M +18% ReachH1’25: 14.6M H2’25: 17.3M
Proxy ConversionsH1’25: 975.1K,proxy conversionsh1 25 975 1k,Proxy ConversionsH1’25: 975.1K,1,1,Disney+ EMEA  FY25 H2,percent,performance,false,30,5,+61% Proxy ConversionsH1’25: 975.1K H2’25: 1.6M +18% ReachH1’25: 14.6M H2’25: 17.3M
ReachH1’25,reachh1 25,ReachH1’25,1,1,Disney+ EMEA  FY25 H2,count,reach,false,10,2,+18% ReachH1’25: 14.6M H2’25: 17.3M +61% Proxy ConversionsH1’25: 975.1K H2’25: 1.6M
ReachH1’25: 14.6M,reachh1 25 14 6m,ReachH1’25: 14.6M,1,1,Disney+ EMEA  FY25 H2,percent,reach,false,17,4,+18% ReachH1’25: 14.6M H2’25: 17.3M +61% Proxy ConversionsH1’25: 975.1K H2’25: 1.6M
ReachH2’24: 11.6M,reachh2 24 11 6m,ReachH2’24: 11.6M,1,1,Disney+ EMEA FY25 H1,percent,reach,false,17,4,+26% ReachH2’24: 11.6M H1’25: 14.6M +27% LaunchesH2’24: 9.4M H1’25: 12.0M
Recommendations for FY26 and Beyond,recommendations for fy26 and beyond,Recommendations for FY26 and Beyond,1,1,Disney+ EMEA  FY25 H2,count,other,false,35,5,"Recommendations for FY26 and Beyond Roadblocks = 15% of spend, 28%+ reach, 3x CPPC efficiency. 1 Suppression targeting improved Reach, CTR, and CPPC, proving broader targeting can fuel acquisition efficiency. Audience Ta"
SAL,sal,SAL,1,1,Disney+ US FY25 H1,currency,other,false,3,1,Disney XLOB FY25 Partnership: Renewed at $17M & surpassed Tier 2 in 6 months Disney+ Global FY25 H1 Investment - $6.9M (+63% vs. H1 FY24) US accounts for 50% of Disney+ Global H1 investment $310K in Added Value Market Ac
Spring Promo Spotlight,spring promo spotlight,Spring Promo Spotlight,1,1,Disney+ US FY25 H1,count,other,false,22,3,"Spring Promo Spotlight: 3/16 Roadblock Spring Promo Spotlight: 3/16 Roadblock With 18.4M impressions, the Text Only + Moana 2 video-enabled accounted for only 6% of total H1 investment but led to 8% of total launches!"
Title: $CPA,title cpa,Title: $CPA,1,1,Disney+ EMEA FY25 H1,count,cost,true,11,2,"Title: $CPA Local titles delivered installs at nearly half the CPA of global titles, with comparable CPE. This suggests that culturally relevant, market-specific content resonates more deeply and converts more efficientl"
Top Performer,top performer,Top Performer,1,1,Disney+ EMEA  FY24 H2,ratio,other,false,13,2,"LG has upgraded the Smart TV interface with the Carousel Home Screen, bringing a fresh interactive dimension to all 2019+ LG TVs Top Performer: Carousel supports strong CTR, often outperforming other placements by 2x Hig"
Total Clicks,total clicks,Total Clicks,1,1,Disney+ EMEA  FY24 H2,count,performance,false,12,2,CPA: Inclusive of only App Not Installed targeting 113.7K Total Clicks 81M Total Impressions
Total Engaged,total engaged,Total Engaged,1,1,Disney+ EMEA  FY25 H2,count,engagement,false,13,2,Data Updated Total Engaged 1.6M Total Launches 21.2M
Total Impressions,total impressions,Total Impressions,1,1,Disney+ EMEA  FY24 H2,count,reach,false,17,2,CPA: Inclusive of only App Not Installed targeting 81M Total Impressions $1.06M Total Spend
Total Investment,total investment,Total Investment,1,1,Disney+ US FY25 H1,currency,cost,false,16,2,"Holiday Roadblocks Spotlight Total Investment $595K With 21% of total H1 budget, Holiday Promo Roadblocks generated 30% of acquired users, had an 1.75x higher CTR, and a 31% lower CPA vs overall 1H"
Total Proxy Conversions,total proxy conversions,Total Proxy Conversions,1,1,Disney+ EMEA  FY25 H2,count,performance,false,23,3,Avg Monthly Frequency Total Proxy Conversions* 1.6M Cost Per Proxy Conversions $1.79
Total Reach Delivered,total reach delivered,Total Reach Delivered,1,1,Disney+ EMEA  FY25 H2,percent,reach,true,21,3,Power of Homescreen Roadblocks 28% Total Reach Delivered
Total Spend,total spend,Total Spend,1,1,Disney+ EMEA  FY24 H2,currency,cost,true,11,2,CPA: Inclusive of only App Not Installed targeting $1.06M Total Spend 81M Total Impressions
Total Unique Reach,total unique reach,Total Unique Reach,1,1,Disney+ EMEA  FY24 H2,count,reach,true,18,3,CPA: Inclusive of only App Not Installed targeting 7.02M Total Unique Reach 417.9K Total Installs
TotalInvestment,totalinvestment,TotalInvestment,1,1,Disney+ US FY24 H2,percent,cost,false,15,1,H2 vs H1 Analysis +12% TotalInvestment +36% Acquired Users
Unique Devices Exclusively Reached,unique devices exclusively reached,Unique Devices Exclusively Reached,1,1,Disney+ EMEA  FY24 H2,count,reach,false,34,4,1.1M Unique Devices Exclusively Reached By Roadblocks 54% of total UK Investment in June 2024
Unique Devices Reached,unique devices reached,Unique Devices Reached,1,1,Disney+ EMEA  FY25 H2,count,reach,false,22,3,"Power of Home Screen Roadblocks 7.7M Unique Devices Reached 0.19% Click-through-Rate (CTR) Hulu’s three premiere-day Roadblocks reached 65% of all LG TVs exposed during Q2 and Q3, underscoring unmatched scale and impact."
US Indexed Turned On TVs by Day of Week,us indexed turned on tvs by day of week,US Indexed Turned On TVs by Day of Week,1,1,Disney+ US FY24 H2,count,other,false,39,9,"US Indexed Turned On TVs by Day of Week: 2024-Q3 With Saturday and Sundays seeing the highest consumption, Disney+ should continue to run high impact Roadblocks on the first or second weekend after premiere"
US LG webOS TVs,us lg webos tvs,US LG webOS TVs,1,1,Disney+ US FY25 H1,count,other,false,15,4,"US LG webOS TVs Deduplicated Reach vs. Other TV OEMS 45M A global leader in CTV advertising, we connect real-world moments with addressable media solutions. In transforming the screen into an interactive, immersive and i"
US/CA,us ca,US/CA,1,1,Disney+ EMEA  FY24 H2,count,other,false,5,2,Increased LG Smart TVs [TABLE] 44M | US/CA | +19% YoY 48M | Europe | +12% YoY 37M | LATAM | +16% YoY 39M | APAC | +19% YoY
Video Enabled,video enabled,Video Enabled,1,1,Disney+ US FY24 H2,count,other,false,13,2,"Continue to lean into immersive and animated ad experiences to grab the viewer's attention and drive them into the Disney+ app. Video Enabled - Leverage up to :30 video for both Roadblocks and ROS, driving CTR up to 2x h"
Video-First,video first,Video-First,1,1,Disney+ EMEA  FY24 H2,count,other,false,11,2,"LG has upgraded the Smart TV interface with the Carousel Home Screen, bringing a fresh interactive dimension to all 2019+ LG TVs Top Performer: Carousel supports strong CTR, often outperforming other placements by 2x Hig"
Waiting for LGE Response,waiting for lge response,Waiting for LGE Response,1,1,Disney+ US FY24 H2,count,other,false,24,4,Waiting for LGE Response 24.8K AV9K
