candidate_label,occurrences,deck_count,metric_types,sample_values,sample_context_1,sample_context_2,sample_context_3,sample_slides
eu5 was not included in spring promo,2,2,percentage:2,31%,ain: $12.02; 25% Germany: $19.69; 39% UK: $11.09; 31% EU5 was NOT included in Spring Promo,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-46 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-25
etitors and across all other disney+ countries at,2,2,percentage:2,58%,etitors and across all other Disney+ countries at 58% growth. Italy saw an 11% increase in overall inst,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-21 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-57
emea accounts for,2,2,percentage:2,30% | 40%,Investment - $18M (2x FY24) - EMEA accounts for 30% of Disney+ Global Investment - +$500K in Adde,- $6.9M (+63% vs. H1 FY24) - EMEA accounts for 40% of Disney+ H1 investment - $224K in Added Val,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4
ed ros - - disney increased lapsed investment by,2,2,currency:2,$131,ed ROS - - Disney increased Lapsed investment by $131K in H1’25 while maintaining an efficient ~$5 CPE,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-35 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-35
driving an efficient,2,2,currency:2,$3.66,"tperformed Lapsed targeting, driving an efficient $3.66 CPE - Engagement Proxy - - Intender Definition:",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-37 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-36
disney+ achieved a near,2,2,percentage:2,40%,"stalled native ROS lines, Disney+ achieved a near 40% decrease in CPA vs FY24 H2, with massive opportun",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-33 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-33
delivering a,2,2,percentage:1; currency:1,0.42% | $45.44,"s: Installs: 26.6, Install Rate .51 delivering a 0.42% CTR, nearly 4x the Disney benchmark.","ines to acquire 40K new users in H2, delivering a $45.44 CPA -22% decrease of $13 vs H1 with help from the",,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-38 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-31
bundle this quarter,2,2,percentage:2,100%,"Total: $366,887 Bundle vs. SAL Investment Split (100% Bundle this quarter)",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-4
bundle - standalone - 67% of h1 investment,2,2,percentage:2,33%,- - Bundle - Standalone - 67% of H1 Investment - 33% of H1 Investment - Source: LG Ads 1P Campaign Dat,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-32 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-32
bundle - standalone,2,2,percentage:2,67%,lide_1_image_rId6.jpg) - - Bundle - Standalone - 67% of H1 Investment - 33% of H1 Investment - Source:,ide_21_image_rId6.jpg) - - Bundle - Standalone - 67% of H1 Investment - 33% of H1 Investment - Source:,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-32 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-32
because of multiple tvs within individual househo,2,2,percentage:2,100%,t is your main TV? Note: Numbers do not add up to 100% because of multiple TVs within individual househo,e of TVs by Brand. Note: Numbers do not add up to 100% because of multiple TVs within individual househo,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-50 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-7
and by around,2,2,currency:2,$1,"imately $4.50 in Italy and Germany, and by around $1 in the UK, Spain, and France compared to H2’24 ![",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-46 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-25
and a,2,2,percentage:2,31%,"of acquired users, had an 1.75x higher CTR, and a 31% lower CPA vs overall 1H ![rId4](slide_10_image_rI","of acquired users, had an 1.75x higher CTR, and a 31% lower CPA vs overall 1H ![rId4](slide_9_image_rId",,Disney+ US FY25 H1/04_metrics_extracted.json#slide-41 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-38
active users - 36% - installed,2,2,percentage:2,79%,tallers - Lapsed Users - 64% - 21% - Installers - 79% - Active Users - 36% - Installed: All active LG T,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-25 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-25
with efficiency improving from,2,1,currency:2,$14.89,"H1) to $388K (H2), with efficiency improving from $14.89 to $11.03 CPPC. The market’s strong emphasis on p",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-27
wicked,2,1,currency:2,$2.56 | $2.70,"ind Wicked Harlem: $13.24 Mario: $11.61 Fall Guy: $2.56 Wicked: $2.70 Video Q4: CPA = $2.55, CTR = 0.37%,","lem: $13.24 Mario: $11.61 Fall Guy: $2.56 Wicked: $2.70 Video Q4: CPA = $2.55, CTR = 0.37%, install rate",,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-31
while delivering a,2,1,percentage:2,0.42%,"ore users Homescreen Roadblock—while delivering a 0.42% CTR, nearly 4x the benchmark. - ![rId7](slide_40","ore users Homescreen Roadblock—while delivering a 0.42% CTR, nearly 4x the benchmark. - ![rId8](slide_43",,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-59 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-62
video companion - 4%,2,1,percentage:2,4%,of powerful engagement. - H1 - H2 - 3D Animated - 4% - Video Companion - 4% ![rId4](slide_20_image_rId,- H1 - H2 - 3D Animated - 4% - Video Companion - 4% ![rId4](slide_20_image_rId4.jpg) ![rId5](slide_20,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-28
title,2,1,currency:2,$22.93,) - Title (Local to [Market]) - Title: $CPA - CPA $22.93 - Title: $CPA - CPA $11.67 - CPE $4.45 - CPE $4.1,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-63 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-64
throughout all different creatives that ran acros,2,1,currency:2,$14,", and Italy had a cost efficient CPA of less than $14 Throughout all different creatives that ran acros",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-55 | Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-73
this sponsorship drove,2,1,percentage:2,11%,"sney’s H1 EMEA investment, this sponsorship drove 11% of all campaign app launches and acquired 23% mor",,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-59 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-62
suppress heavy active,2,1,percentage:2,1.17% | 10.00%,tes: Julia Launch Rate Lapsed 4.08% Not Installed 1.17% Suppress Heavy Active 10.00%,d 4.08% Not Installed 1.17% Suppress Heavy Active 10.00%,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-25
speaker julia home screen roadblocks made up,2,1,percentage:2,15%,es: Speaker Julia Home Screen Roadblocks made up 15% of spend but drove 28%+ unique reach and were 3x,es: Speaker Julia Home Screen Roadblocks made up 15% of spend but drove 25%+ unique reach and were 3x,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-33 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-71
sal accounted for,2,1,percentage:2,33%,"Id7](slide_44_image_rId7.jpg) - SAL accounted for 33% of H1 investment, fueling major blockbuster launc","_44_image_rId4.jpg) ### Notes: SAL accounted for 33% of H1 investment, fueling major blockbuster launc",,Disney+ US FY25 H1/04_metrics_extracted.json#slide-66
s and las sabinas led performance with cpas under,2,1,currency:2,$11,s and Las Sabinas led performance with CPAs under $11 and strong cost per engagement. While blockbuster,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-20 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-34
ros - lapsed31% - roadblocks,2,1,percentage:2,10%,_image_rId3.jpg) - ROS - Lapsed31% - Roadblocks - 10% - ROS - Not Installed58% ### Notes: Speaker: Jul,_image_rId3.jpg) - ROS - Lapsed31% - Roadblocks - 10% - ROS - Not Installed58% - Source: LG Ad Solution,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-25 | Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-61
ros - lapsed,2,1,percentage:2,31%,5M ![rId3](slide_15_image_rId3.jpg) - ROS - Lapsed31% - Roadblocks - 10% - ROS - Not Installed58% ###,5M ![rId3](slide_53_image_rId3.jpg) - ROS - Lapsed31% - Roadblocks - 10% - ROS - Not Installed58% - Sou,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-25 | Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-61
of total streaming time,2,1,percentage:2,54%,"el budget, but generated nearly 50% of launches, 54% of total streaming time, and 54% of engaged users","50% of launches, 54% of total streaming time, and 54% of engaged users!",,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-34
of total investment in h2 roadblock strategy,2,1,percentage:2,48% | 69%,Total Launches ![rId3](slide_60_image_rId3.jpg) - 48% - of total Investment in H2 Roadblock Strategy -,- of total Investment in H2 Roadblock Strategy - 69% - Of Acquired Users - 30% - More efficient CPA -,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-51
of total,2,1,percentage:1; currency:1,17% | $1.96,"## Notes: Speaker: Julia Video companion made up <17% of total $1.96M carousel budget, but generated n","aker: Julia Video companion made up <17% of total $1.96M carousel budget, but generated nearly 50% of la",,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-34
of sweden,2,1,percentage:2,60%,der shifting heavier budgets towards Lapsed given 60% of Sweden's install base is Lapsed. Consider shi,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-55 | Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-73
of lg tvs do not have disney+ installed,2,1,percentage:2,30%,"arter Turkey shows substantial growth potential: 30% of LG TVs do not have Disney+ installed, and of t","Megan Turkey shows substantial growth potential: 30% of LG TVs do not have Disney+ installed, and of t",,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-27
more users homescreen roadblock,2,1,percentage:2,23%,ove 11% of all campaign app launches and acquired 23% more users Homescreen Roadblock—while delivering,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-59 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-62
market investment increased from,2,1,currency:2,$269,"ion opportunity. Market investment increased from $269K (H1) to $388K (H2), with efficiency improving fr",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-27
mario,2,1,currency:2,$13.24 | $11.61,d how many impressions were behind Wicked Harlem: $13.24 Mario: $11.61 Fall Guy: $2.56 Wicked: $2.70 Video,ressions were behind Wicked Harlem: $13.24 Mario: $11.61 Fall Guy: $2.56 Wicked: $2.70 Video Q4: CPA = $2.,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-31
lapsed31% - roadblocks - 10% - ros - not installed,2,1,percentage:2,58%,Lapsed31% - Roadblocks - 10% - ROS - Not Installed58% ### Notes: Speaker: Julia Speaking Roadblocks mo,Lapsed31% - Roadblocks - 10% - ROS - Not Installed58% - Source: LG Ad Solutions TV Campaigns Data Disne,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-25 | Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-61
klapsed ros,2,1,currency:2,$163 | $220,g end of June to end of September H2 Spend: CSRB: $163KLapsed ROS: $220K Not Installed ROS: $80K RB: $1.,end of September H2 Spend: CSRB: $163KLapsed ROS: $220K Not Installed ROS: $80K RB: $1.59M,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-23
k rb,2,1,currency:2,$80 | $1.59,: CSRB: $163KLapsed ROS: $220K Not Installed ROS: $80K RB: $1.59M,163KLapsed ROS: $220K Not Installed ROS: $80K RB: $1.59M,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-23
k new users with a,2,1,currency:2,$110.43 | $20.36,"ards Roadblocks, acquiring* 2.1K new users with a $110.43 - Sign-Up + Subscription Proxy - - - Impression","quisition lines, acquiring* 76K new users with a $20.36 CPA. - Sign-Up + Subscription Proxy - - - Impre",,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-53 | Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-54
k duo &,2,1,currency:2,$460 | $452,) having $118K more investment vs Bundle ($912K) ($460K Duo & $452K Trio) - Standalone - Bundle - - ![,8K more investment vs Bundle ($912K) ($460K Duo & $452K Trio) - Standalone - Bundle - - ![rId9](slide_,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-30
k companion video,2,1,currency:2,$21 | $17,ge_rId3.jpg) ### Notes: 3/22 RB 3d: $48K Static: $21K Companion Video: $17K,s: 3/22 RB 3d: $48K Static: $21K Companion Video: $17K,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-55
k - investment,2,1,currency:2,$404.5 | $413.2,5](slide_2_image_rId5.jpg) - - - - Investment: $404.5K - Investment: $413.2K - x - Source: LG Ad Soluti,jpg) - - - - Investment: $404.5K - Investment: $413.2K - x - Source: LG Ad Solutions TV Campaigns Data,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-31
k - 2019+ model year targeting - nearly,2,1,currency:2,$110 | $10,tive: Carousel Companion with Video - Investment: $110K - 2019+ Model Year Targeting - Nearly $10K Added,ment: $110K - 2019+ Model Year Targeting - Nearly $10K Added Value due to overdelivery - - - - - -,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-37
k - - added values - - - +,2,1,currency:2,$80 | $72,uct - - x - Sign-Up + Subscription Proxy - ROS : $80K - - Added Values - - - +$72K - Added values i,ion Proxy - ROS : $80K - - Added Values - - - +$72K - Added values in ROS Not Installed - Impression,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-56
julia q4 expands suppression support across,2,1,percentage:2,90%,"otes: Julia Q4 expands suppression support across 90% of EU markets – EU5 and GR, HU, PL, & TR “Suppres",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-24 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-28
increase,2,1,percentage:2,8% | 37%,"H125 H1 = 42M Launche Last quarter $2,556,629.87 (8% Increase) 224.80M impressions (37% increase) 11.9","$2,556,629.87 (8% Increase) 224.80M impressions (37% increase) 11.95M launches (1.8x 75%) 975K engagem",,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-22
in emea,2,1,percentage:2,0.20%,Data Disney+ FY25 Q3 | CTR benchmark is based on 0.20% in EMEA ### Notes: Last Half Spend: $118.6K Reac,Data Disney+ FY25 Q4 | CTR benchmark is based on 0.20% in EMEA -,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-62 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-66
h1 - h2 - 3d animated,2,1,percentage:2,4%,of powerful engagement. - H1 - H2 - 3D Animated - 4% - Video Companion - 4% ![rId4](slide_20_image_rId,- H1 - H2 - 3D Animated - 4% - Video Companion - 4% ![rId4](slide_20_image_rId4.jpg) ![rId5](slide_20,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-28
germany //,2,1,percentage:2,0.23% | 0.20%,image_rId4.jpg) ### Notes: 8 Total Markets CTR: 0.23% Germany // 0.20% Romania Overall Launch Rate: 0.1,### Notes: 8 Total Markets CTR: 0.23% Germany // 0.20% Romania Overall Launch Rate: 0.13% - UK 17% launc,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-37
fall guy,2,1,currency:2,$11.61 | $2.56,ressions were behind Wicked Harlem: $13.24 Mario: $11.61 Fall Guy: $2.56 Wicked: $2.70 Video Q4: CPA = $2.,"ind Wicked Harlem: $13.24 Mario: $11.61 Fall Guy: $2.56 Wicked: $2.70 Video Q4: CPA = $2.55, CTR = 0.37%,",,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-31
der shifting heavier budgets towards lapsed given,2,1,percentage:2,60%,der shifting heavier budgets towards Lapsed given 60% of Sweden's install base is Lapsed. Consider shi,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-55 | Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-73
demonstrating that broader targeting can fuel acq,2,1,percentage:2,63%,"h Reach, CTR up 58%, and Cost per Proxy improving 63% demonstrating that broader targeting can fuel acq","h, CTR (up 58% HoH), and Cost per Proxy improving 63% demonstrating that broader targeting can fuel acq",,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-25 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-39
ctrcountdown,2,1,percentage:2,+18% | 0.20%,ower of urgency-driven creative. - - - - - - +18% - CTRCountdown: 0.20% - BAU: 0.17% - +4% - Launch,n creative. - - - - - - +18% - CTRCountdown: 0.20% - BAU: 0.17% - +4% - Launch RateCountdown: 14.70%,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-37
cppc,2,1,currency:2,$11.03,"8K (H2), with efficiency improving from $14.89 to $11.03 CPPC. The market’s strong emphasis on promoting T",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-27
cost pers countdown,2,1,currency:2,$0.66,: 14.70% - BAU: 14.17% - = - Cost pers Countdown: $0.66 - BAU: $0.66 - +2% - Average DurationCountdown :,U: 14.17% - = - Cost pers Countdown: $0.66 - BAU: $0.66 - +2% - Average DurationCountdown : 68.56 Min - B,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-37
cost per companion,2,1,percentage:1; currency:1,-36% | $0.28,+50% - Launch RateCompanion: 28.42% - 3D:18.97% - -36% - Cost Per Companion: $0.28 - 3D: $0.43 - -0.5% -,: 28.42% - 3D:18.97% - -36% - Cost Per Companion: $0.28 - 3D: $0.43 - -0.5% - Average DurationCompanion:,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-35
block - while the content store represented just,2,1,percentage:2,5%,"block - While the Content Store represented just 5% of Disney’s H1 EMEA investment, this sponsorship",,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-59 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-62
are lapsed users,2,1,percentage:2,70%,"not have Disney+ installed, and of those that do, 70% are Lapsed users, signaling a sizable win-back an",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-27
and followed by romania,2,1,percentage:2,0.23% | 0.20%,"mpressions: 31,080,766 Strongest CTR Germany with 0.23% and followed by Romania 0.20%",st CTR Germany with 0.23% and followed by Romania 0.20%,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-42
and cost per proxy improving,2,1,percentage:2,63%,"h Reach, CTR up 58%, and Cost per Proxy improving 63% demonstrating that broader targeting can fuel acq","h, CTR (up 58% HoH), and Cost per Proxy improving 63% demonstrating that broader targeting can fuel acq",,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-25 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-39
yttv spent,1,1,currency:1,$1.75,- Audience recommendation Example: “YTTV spent $1.75M to acquire 69k net new YTTV acquired users in Q3,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-31
yoy - successfully launched espn app,1,1,percentage:1,13%,"estic accounted for $3.8M of the investment, up 13% YoY - Successfully launched ESPN App, Hulu on Dis",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-4
yoy - growth - source,1,1,percentage:1,+12%,Combination of - Global Scale & Unique Reach - - +12% YoY - Growth - Source: LG Ad Solutions Proprietar,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-6
year-over-year lift,1,1,percentage:1,77%,"foundation, we expanded into a $34M business — a 77% year-over-year lift. Disney Streaming Global was",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
year at a glance - disney xlob fy25 partnership,1,1,currency:1,$34,Year at a Glance - Disney XLOB FY25 Partnership: $34M Investment across 20 Lines of Business - Disney+,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
x250 static or video companion - offered at,1,1,percentage:1,100%,- 970x250 Static or Video Companion - Offered at 100% SOV Sponsorship; fixed two week flight - - Avail,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-10
x - markets - carousel companion,1,1,percentage:1,59%,jpg) - - - 13x - Markets - Carousel Companion - 59% - Higher CTR - vs Static - 103% - Higher Launch R,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-29
wt wrexham s3,1,1,currency:1,$4.07,jpg) - Blockbuster Offer 24 - Inside Out 2 - CPE: $4.07 - WT Wrexham S3 (UK) - ![rId8](slide_50_image_rI,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-62
with opportunity for increased investment due to,1,1,currency:1,$9.00,rging markets. This strategy generated CPEs under $9.00 with opportunity for increased investment due to,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-32
with a,1,1,currency:1,$17,"ts: FY25 was our highest-growth year yet. With a $17M endeavor as the foundation, we expanded into a $",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
with,1,1,currency:1,$3.168,", nearly half of our global FY25 investment, with $3.168M landing in the second half of the year. That se",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
while reaching an overall,1,1,percentage:1,0.14%,"ivered 81M impressions, while reaching an overall 0.14% CTR— 16% above our LG Entertainment benchmark. Th",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-59
which is,1,1,percentage:1,52%,"ngine of this growth, contributing $18M, which is 52% of total XLOB investment and represents 2X YoY gr",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
we expanded into a,1,1,currency:1,$34,"7M endeavor as the foundation, we expanded into a $34M business — a 77% year-over-year lift. Disney Str",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
we deployed a,1,1,percentage:1,100%,"t. Then, on theatrical release day, we deployed a 100% SOV Home Screen Roadblock featuring a 3D creative",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-9
we delivered,1,1,currency:1,$34,"exceptional year for (XLOB) growth. We delivered $34M in total investment, up 77% YoY, despite origina",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
vs always on media germany h2 lapsed budget,1,1,currency:1,$186,gun) vs Always On media Germany H2 Lapsed Budget: $186K Continuous Lapsed Always On media April- October,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-31
video companion - 32% - static - 96% - static,1,1,percentage:1,64%,- Video Companion - 32% - Static - 96% - Static - 64% - Source: LG Ads 1P Campaign Data during Disney F,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-28
video companion - 32% - static,1,1,percentage:1,96%,mage_rId5.jpg) - Video Companion - 32% - Static - 96% - Static - 64% - Source: LG Ads 1P Campaign Data,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-28
video,1,1,percentage:1,36%,otes: Julia 258 Total Creatives/ Lines 64% Static 36% Video (Companion and 3D) (13.4M) RB Overal,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-29
ve officially surpassed,1,1,currency:1,$17,0) Live in 16 Markets we've officially surpassed $17M in booked revenue across Disney XLOB for FY25. T,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4
user base,1,1,percentage:1,80%,"d targeting viewers are above the EMEA average at 80% user base, consider increasing paid ROS to includ",,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-18
us sports hub minimums will increase to,1,1,currency:1,$1,"orld Cup)—US Sports Hub minimums will increase to $1M per quarter, reflecting the anticipated rise in",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-12
us media from october 2023- march 2024 turkey h2,1,1,currency:1,$108,us media from October 2023- March 2024 Turkey H2: $108K Ran continuous media April- June 2024 / Paused m,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-28
uptick in investment and the content store roadbl,1,1,percentage:1,+12%,- H2 vs H1 Analysis - With a +12% uptick in investment and the Content Store Roadbl,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-28
updated,1,1,percentage:1,29%,n: EU5 Markets - September ‘25 - … - Updated - - 29% - Penetration of LG MAUs - Source: LG Ad Solution,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-74
unlocking over,1,1,currency:1,$500,"to be a major growth accelerator, unlocking over $500K in added value that delivered meaningful scale a",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-30
uk/de - spent,1,1,currency:1,$187,"lide_43_image_rId5.jpg) ### Notes: UK/DE - Spent $187k on Spend: $2,556,629.87 Clicks: 321,010 Insta",,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-62
uk 2ppts it,1,1,percentage:1,74%,H2’24 - 71% of TVs installed - for H1 we’re up to 74% UK 2ppts IT: 2ppts FR: 2ppt DE: 2ppt Of TVs wit,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-17
ts + continuously driving in new users turkey h1,1,1,currency:1,$121,ts + continuously driving in new users Turkey H1: $121K Ran continuous media from October 2023- March 20,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-28
totalinvestment,1,1,percentage:1,+31%,_19_image_rId3.jpg) - - +12% - TotalInvestment - +31% - Installs - -22% - CPA - Source: LG Ads 1P Campa,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-28
total q,1,1,rate:1,4 CTR,"Total Q4 CPE in FR, DE, IT, UK - CTR - vs. Total Q4 CTR in FR, DE, IT, UK - - Source: LG Ad Solutions TV",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-69
total,1,1,currency:1,$125,"den H2: $97,500 (ROS) / $28,432.50 (RBs) / Total: $125,932.50 Almost 50/50 breakout of Not Installed and",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-27
top static was wicked at,1,1,currency:1,$2.70,"A, $2.07% install rate Top static was wicked at $2.70 which reaaaaaallly skewed the CPA here and how ma",,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-31
tomy while no other markets had them avods seeing,1,1,currency:1,$13,tomy while no other markets had them Avods seeing $13 - 85 Nicole/Julia,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-32
ting strategy into 5 new countries - investment,1,1,currency:1,$2.25,ting strategy into 5 new countries - Investment = $2.25M ![rId3](slide_53_image_rId3.jpg) - ROS - Lapsed3,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-61
this strategy generated cpes under,1,1,currency:1,$9.00,rging markets. This strategy generated CPEs under $9.00 with opportunity for increased investment due to,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-32
this represents a decrease of 54% due to the con,1,1,currency:1,$25.42,"w YTTV acquired users in Q3’24, delivering CPA of $25.42 This represents a decrease of 54% due to the Con",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-31
this represents a decrease of,1,1,percentage:1,54%,ring CPA of $25.42 This represents a decrease of 54% due to the Content Store Roadblocks” 58.52 CPA f,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-31
these playable units accounted for,1,1,percentage:1,98%,"ire campaign, these playable units accounted for 98% of engaged users and 91% of acquired users.",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-33
the sponsorship drove,1,1,percentage:1,22%,"isney’s spend in UK and DE, the sponsorship drove 22% of all D+ App Launches and acquired 3x more users",,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-39
